id,title,media,sequence,privacy,canMarket,sfw,caption,price,bowAgreements,benefitting,year,medium,materials,dimensions,location,geo,genre,subset,references,languages,credits,pressLink,distributor,tags,createdAt,updatedAt,userId
52,Unbound,,8,2,TRUE,FALSE,"Unbound explores the inheritance of ancestral trauma. My great-great grandmother was the last woman in my family to have bound feet. At age four (the same age when girls begin the process of foot-binding), I spent six months living in my ancestral home in Kaiping, China, where I suffered a fracture to my left foot. I solicit men via Craigslist and Tinder for anonymous “foot worship” sessions in which they pay to rub, kiss, and lick my feet. I construct an altar to my great-great grandmother and invite audience members to sit with me inside a circle of rice and to trade foot massages as we share stories of family pain. Performed at performance space, Folkestone, UK, October 2019.",,TRUE,,2018,,,,"London & Folkestone, UK",,"performance,photography",Unbound,,,Collaborators: Alexandra Bell & Jack Murphy,,,"{foot worship,ancestral trauma}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,9
53,Chantico,,1,2,TRUE,FALSE,"Dia Dynasty is Chantico.                                                                                                                                                                                                                              She wears red and reaps Pleasure and Pain. Radiant Serpentine Grace. She Who Dwells in the House. Goddess of Fire and War. Guardian of animals, metals and minerals, Her Domain. She takes possession of Her Offering and makes Her mark on him, binding his soul to Her promise of protection and power.",,TRUE,,,video,Canon 7D,1min 02sec,New York,,erotic/occult/fetish art,Chantico,,english,Collaboration with Dia Dynasty,http://slutist.com/chantico/,,"{bdsm, shamanatrix, ritual, sexmagick}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,10
54,The Chamber,,5,1,TRUE,FALSE,"You are entering The Chamber.                                                                                                                                                                                 When you are entering The Chamber your profane world is left behind.
You are now in an alternative universe,  where your obscure desires and fantasies become realiaty.
Are you ready?",,TRUE,,,photography,Canon 7D,,New York,,erotic/fetish art,The Chamber Series,,english,Collaboration with Marcelle Marais and Sheena.                                                                                                                                            Wardrobe Tableaux Vivants.,,,"{bdsm, domination, submission, sexmagick}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,10
55,Human Flesh,,10,2,TRUE,FALSE,"Human Flesh

She was a a doomed angel with more love for humanity than even her immortal body could contain. Daily she would listen to the reverence of humankind and shower it with her otherworldly affection. On the day she burst, she could no longer hear their prayers. They had forgotten her. She condemned those mortals, and shed her ethereal form to reveal the fanatical, vengeful creature beneath. She could not die, so she traipsed the surface of the earth, wailing, mourning humankind’s unrequited love.

She was monstrous.",,TRUE,,2020,photography,Canon 7D,,New York,,erotic/identity/fetish art,Human Flesh,,english,Collaboration with Kathryn Kane. Wardrobe Lasegue.falret.,,,"{bdsm, burlesque, religiousfanatism, gender}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,10
56,Chantico,,3,1,TRUE,TRUE,"Dia Dynasty as Chantico. She wears red and reaps Pleasure and Pain. Radiant Serpentine Grace.                                                                                                                                                                                             She Who Dwells in the House. Goddess of Fire and War. Guardian of animals, metals and minerals, Her Domain. She takes possession of Her Offering and makes Her mark on him, binding his soul to Her promise of protection and power.",,TRUE,,,photography,Canon 7D,,New York,,erotic/occult/fetish art,Chantico,,english,Collaboration with Dia Dynasty,,,"{bdsm, shamanatrix, sacred, ritual, sexmagick}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,10
57,Chantico,,2,1,TRUE,TRUE,"Dia Dynasty as Chantico.                                                                                                                                                                                                  She wears red and reaps Pleasure and Pain. Radiant Serpentine Grace. She Who Dwells in the House. Goddess of Fire and War. Guardian of animals, metals and minerals, Her Domain. She takes possession of Her Offering and makes Her mark on him, binding his soul to Her promise of protection and power.",,TRUE,,,video,Canon 7D,1min 02sec,New York,,erotic/occult/fetish art,Chantico,,english,Collaboration with Dia Dynasty,,,"{bdsm, shamanatrix, sacred, ritual, sexmagick}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,10
58,Human Flesh,,9,2,TRUE,FALSE,"Human Flesh

She was a a doomed angel with more love for humanity than even her immortal body could contain. Daily she would listen to the reverence of humankind and shower it with her otherworldly affection. On the day she burst, she could no longer hear their prayers. They had forgotten her. She condemned those mortals, and shed her ethereal form to reveal the fanatical, vengeful creature beneath. She could not die, so she traipsed the surface of the earth, wailing, mourning humankind’s unrequited love.

She was monstrous.",,TRUE,,2020,photography,Canon 7D,,New York,,erotic/identity/fetish art,Human Flesh,,english,Collaboration with Kathryn Kane. Wardrobe Lasegue.falret.,,,"{bdsm, burlesque, religiousfanatism, gender}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,10
59,Human Flesh,,7,2,TRUE,FALSE,"Human Flesh

She was a a doomed angel with more love for humanity than even her immortal body could contain. Daily she would listen to the reverence of humankind and shower it with her otherworldly affection. On the day she burst, she could no longer hear their prayers. They had forgotten her. She condemned those mortals, and shed her ethereal form to reveal the fanatical, vengeful creature beneath. She could not die, so she traipsed the surface of the earth, wailing, mourning humankind’s unrequited love.

She was monstrous.",,TRUE,,2020,photography,Canon 7D,,New York,,erotic/identity/fetish art,Human Flesh,,english,Collaboration with Kathryn Kane. Wardrobe Lasegue.falret. ,,,"{bdsm, burlesque, religiousfanatism, gender}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,10
60,The Chamber,,6,1,TRUE,FALSE,"You are entering The Chamber.                                                                                                                                                                                 When you are entering The Chamber your profane world is left behind.
You are now in an alternative universe,  where your obscure desires and fantasies become realiaty.
Are you ready?""",,TRUE,,,photography,Canon 7D,,New York,,erotic/fetish art,The Chamber Series,,english,Collaboration with Marcelle Marais and Sheena.                                                                                                                                            Wardrobe Tableaux Vivants.,,,"{bdsm, domination, submission, sexmagick}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,10
61,Human Flesh,,8,2,TRUE,FALSE,"Human Flesh

She was a a doomed angel with more love for humanity than even her immortal body could contain. Daily she would listen to the reverence of humankind and shower it with her otherworldly affection. On the day she burst, she could no longer hear their prayers. They had forgotten her. She condemned those mortals, and shed her ethereal form to reveal the fanatical, vengeful creature beneath. She could not die, so she traipsed the surface of the earth, wailing, mourning humankind’s unrequited love.

She was monstrous.",,TRUE,,2020,photography,Canon 7D,,New York,,erotic/identity/fetish art,Human Flesh,,english,Collaboration with Kathryn Kane. Wardrobe Lasegue.falret.,,,"{bdsm, burlesque, religiousfanatism, gender}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,10
62,Chantico,,4,1,TRUE,TRUE,"Dia Dynasty as Chantico. She wears red and reaps Pleasure and Pain. Radiant Serpentine Grace. She Who Dwells in the House. Goddess of Fire and War. Guardian of animals, metals and minerals, Her Domain. She takes possession of Her Offering and makes Her mark on him, binding his soul to Her promise of protection and power.",,TRUE,,,photography,Canon 7D,,New York,,erotic/occult/fetish art,Chantico,,english,Collaboration with Dia Dynasty,,,"{bdsm, shamanatrix, sacred, ritual, sexmagick}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,10
63,Homunculus,,2,1,TRUE,TRUE,"How the body is viewed informs us on the ways that the dynamics of power alter relationships between people and the individual’s object-subject-hood. Objectification is often a process that female bodies are subjected to, losing agency and empathy in the process. By abstracting and deconstructing the male form, I remove its usual role as “subject,” allowing for a new context in which to view the male body. 
",1500,TRUE,,2020,painting,oil on canvas,24”x24” in,,,,,,English,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,11
64,L’Origine du Monde,,3,1,TRUE,FALSE,"I'm interested in re-contextualizing the narratives of sexual labor. Here, the only body visible is of the (presumed) client, headless, anonymous, but offering a brief glimpse into a moment of intimacy through the eyes of a sex worker. A visual shift in the cultural script of sexual commerce. ",800,TRUE,,2018,painting,oil on wood panel,16”x20” in,,,,,Gustave Courbet,English,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,11
65,Holden,,1,1,TRUE,TRUE,"“...If you want to know the truth, I’m a virgin. I really am. I’ve had quite a few opportunities to lose my virginity and all, but I’ve never got around to it yet…The thing is, most of the time when you’re coming pretty close to doing it with a girl—a girl that isn’t a prostitute or anything, I mean—she keeps telling you to stop. The trouble with me is, I stop. Most guys don’t. I can’t help it.”",2500,TRUE,,2020,painting,oil on canvas,30”x48” in,,,,,The Catcher in the Rye,English,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,11
66,A Digital Encounter,,,2,FALSE,FALSE,,,TRUE,,,digital photo,,,,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,12
67,In Bloom,,,2,FALSE,FALSE,,,TRUE,,,digital photo,,,,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,12
68,Ten Cuidado,,,2,FALSE,FALSE,,,TRUE,,,digital photo,,,,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,12
69,Boots and Shapes,,,2,FALSE,FALSE,,,TRUE,,,digital photo,,,,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,12
70,Backstage Preparation,,,1,FALSE,FALSE,,,TRUE,,,digital photo,,,,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,12
71,Cognitive Dissonance,,,2,FALSE,FALSE,,,TRUE,,,digital photo,,,,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,12
72,Binding Invitation,,,2,FALSE,FALSE,,,TRUE,,,digital photo,,,,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,12
73,My Favorite Whip,,,2,FALSE,FALSE,,,TRUE,,,digital photo,,,,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,12
74,Some Brown on Brown,,,2,FALSE,FALSE,,,TRUE,,,digital photo,,,,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,12
75,wet web,,1,1,TRUE,FALSE,,,TRUE,,2021,video,"fishnets, skin, labia, tongue, voice, iphone 11",3min excerpt from 8min digital video,NYC,,Erotic film,,,"english,applies to all",,,,"{sex work,skin,body art,body horror,video,film,sound art}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,13
76,floral anus,,4,1,TRUE,TRUE,,,TRUE,,2019,sculpture,"silicone, faux fur, acrylic, LED lights",Sculpture dimensions as seen installed: 2 feet wide by 4 feet high,nyc,,Installation,,,,,,,"{skin,body art,body horror,silicone}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,13
77,excision 3,,8,1,TRUE,FALSE,,,TRUE,,2019,"video,performance","latex, silicone, unidentified contents",Digital video 1 min long,nyc,,"Video,performance",,,,,,,"{skin,body art,body horror,silicone,performance,surgery}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,13
78,self portrait in quicksilver,,9,1,TRUE,TRUE,,,TRUE,,2020,photography,"photography, self-shot and self-styled and edited",Photograph dimensions: varies,nyc,,"Photography,self portraiture",,,,,,,"{photography,self portraiture}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,13
79,excision 2,,7,1,TRUE,TRUE,,,TRUE,,2019,"video,performance","faux fur, latex, silicone, unidentified contents",Digital video 51 seconds,nyc,,"Video,performance",,,,,,,"{skin,body art,body horror,silicone,performance,surgery}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,13
80,"heart, pod, eggs",,2,1,TRUE,TRUE,,,TRUE,,2019,sculpture,"silicone, pigments, steel, beads",Approx 18 inches by 5 inches,nyc,,"Sculpture,body horror",,,,,,,"{skin,body art,body horror,silicone}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,13
81,transintimacy (internal portrait),,6,1,TRUE,TRUE,,,TRUE,,2019,"video,temporary sculpture","video, slime, voice",Digital video 2:21 mins long,nyc,,"Video,manifesto",,,,,,,"{experimental video,audio,sound design,manifesto,spoken word,poetry}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,13
82,my heart is in my ass (for Bob Flanagan),,5,1,TRUE,TRUE,"This is a photograph of ephemera from a private, recorded performance I made in dedication to the late body artist Bob Flanagan. The cherry preserves, which act as a blood enema, were inserted into my colon, followed by the heart shaped butt plug I made myself.",,TRUE,,2019,"sculpture,photography,private performance documentation","cherry preserves, petri dish, silicone, steel chain",Objects: approx 2 inches wide each. Photograph dimensions: varies,nyc,,"Body art,performance art",,See work description,,,,,"{skin,body art,body horror,silicone,performance art}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,13
83,lotus pod I (exhibition documentation),,3,1,TRUE,TRUE,,,TRUE,,2019,"sculpture,video","silicone, pigments, faux fur, j lube, water beads, public interaction, video documentation",Sculpture: 3 feet wide 1.5 feet tall,nyc,,"Interactive sculpture,body horror,happenings",,,,,,,"{skin,body art,body horror,silicone,performance,interactive}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,13
84,vhs feedback loop #1,,10,1,TRUE,TRUE,,,TRUE,,2021,analog and digital video,"analog VHS to CRT footage, aftereffects",1:38 min excerpt of a 5 min video,nyc,,Video,,,,,,,"{analogue,analog,VHS,CRT,experimental video}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,13
85,Easter,,1,2,TRUE,FALSE,,,TRUE,,2012,Photography,,,NYC,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,14
86,Nadja,,3,1,TRUE,TRUE,,,TRUE,,2013,Photography,,,Paris,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,14
87,Cuckolding ,,6,2,TRUE,FALSE,,,TRUE,,2011,Photography,,,NYC,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,14
88,Blunt & Hawthorne,,8,2,TRUE,FALSE,,,TRUE,,2017,Photography,,,NYC,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,14
89,Alex's Studio ,,7,2,TRUE,FALSE,,,TRUE,,2011,Photography,,,NYC,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,14
90,Troy's Studio,,5,2,TRUE,FALSE,,,TRUE,,2015,Photography,,,NYC,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,14
91,Heel,,10,2,TRUE,FALSE,,,TRUE,,2013,Photography,,,London,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,14
92,Domme Jaguar & Couple ,,4,2,TRUE,FALSE,,,TRUE,,2012,Photography,,,NYC,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,14
93,Lovers,,2,2,TRUE,FALSE,,,TRUE,,2020,Photography,,,Wisconsin,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,14
94,Easter II,,9,2,TRUE,FALSE,,,TRUE,,2012,Photography,,,NYC,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,14
95,The Things That People Say We Are (1),,,1,TRUE,TRUE,,,TRUE,,2017,,"mixed materials. found objects, beeswax, graphite, acrylic on canvas ",see artist statement ,Chicago,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,15
96,The Things That People Say We Are PDF/Artist Statement ,,,4,TRUE,TRUE,,,FALSE,,2017,,"mixed materials. found objects, beeswax, graphite, acrylic on canvas ",see artist statement ,Chicago,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,15
97,The Things That People Say We Are (6),,,4,TRUE,TRUE,,,FALSE,,2017,,"mixed materials. found objects, beeswax, graphite, acrylic on canvas ",see artist statement ,Chicago,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,15
98,"Marx was right, Lenin needs correcting (1)",,,4,TRUE,TRUE,,,FALSE,,2017,,"mixed materials. found objects, acrylic on canvas ",,NYC,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,15
99,The Things That People Say We Are (2),,,4,TRUE,TRUE,,,FALSE,,2017,,"mixed materials. found objects, beeswax, graphite, acrylic on canvas ",see artist statement ,Chicago,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,15
100,The Things That People Say We Are (7),,,4,TRUE,TRUE,,,FALSE,,2017,,"mixed materials. found objects, beeswax, graphite, acrylic on canvas ",see artist statement ,Chicago,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,15
101,The Things That People Say We Are (5),,,4,TRUE,TRUE,,,FALSE,,2017,,"mixed materials. found objects, beeswax, graphite, acrylic on canvas ",see artist statement ,Chicago,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,15
102,The Things That People Say We Are (4),,,4,TRUE,TRUE,,,FALSE,,2017,,"mixed materials. found objects, beeswax, graphite, acrylic on canvas ",see artist statement ,Chicago,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,15
103,The Things That People Say We Are (8),,,4,TRUE,TRUE,,,FALSE,,2017,,"mixed materials. found objects, beeswax, graphite, acrylic on canvas ",see artist statement ,Chicago,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,15
104,The Things That People Say We Are (3),,,4,TRUE,TRUE,,,FALSE,,2017,,"mixed materials. found objects, beeswax, graphite, acrylic on canvas ",see artist statement ,Chicago,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,15
105,Headcage,,1,1,TRUE,FALSE,Portrait of a mind fkr. Original photo by Natasha Gornik.,,TRUE,,2011,photo,,,,,portrait,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,16
106,Tender,,2,4,TRUE,FALSE,Portrait of a mind fkr. Original photo by Natasha Gornik.,,TRUE,,2013,photo,,,,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,16
107,Stonewall 50 Celebration with Tiona McClodden,,3,4,TRUE,FALSE,Speech on sex work and kink culture in art. Photo by Ephraim Gonzalez.,,FALSE,,2019,photo,,,Whitney Museum,,,,"See ""Whitney Speech""",,"In collaboration with 2019 Whitney Biennial artist Tiona Nekkia McClodden and inspired by the Meatpacking District’s queer club culture, the Whitney celebrates the fiftieth anniversary of the Stonewall Riots",,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,16
108,Whitney Speech,,,4,TRUE,FALSE,,,FALSE,,,,,,,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,16
109,Daymares 1,,1,2,TRUE,FALSE,"Everyone talks about nightmares, but what about the erotic anxiety we experience during the day?",,TRUE,,82018,photo,camera,Silvia Maggi: photographer,"Betonest- Stolpe, Germany","Stolpe, Germany",photography,Daymares,,English,Silvia Maggi,,nowhere yet,"{erotic, anxiety, experimental}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,17
110,Daymares 2,,2,2,TRUE,FALSE,"daymares:: the fantasy being better than the reality, someone is so wrong they are right, or, so right they are wrong, fearing loss of interest, the gray areas of desire, feeling unsure, complex decisions, trauma bonding, monotony and the in-between, what will it be like after the quarantine..these are daymares.",,TRUE,,82018,photo,camera,Silvia Maggi: photographer,"Betonest- Stolpe, Germany","Stolpe, Germany",photography,Daymares,,English,Silvia Maggi,,nowhere yet,"{erotic, anxiety, experimental}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,17
111,Daymares 3,,3,2,TRUE,FALSE,"At times of social distancing we are struggling with the dystopia idea, that we may not be as connected as we once were. This is a solar punk vision of what types of relationships we will form in our future lives<^>",,TRUE,,82018,photo,camera,Silvia Maggi: photographer,"Betonest- Stolpe, Germany","Stolpe, Germany",photography,Daymares,,English,Silvia Maggi,,nowhere yet,"{erotic, anxiety, experimental}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,17
112,Daymares track: The Neighbourhood Character/Ze Royale Collaboration,,4,2,TRUE,TRUE,see description above.,,TRUE,,4202019,music,computer/sound equipment,can send the original wave file at your request*,"Berlin, Germany","Berlin, Germany",music,Daymares,,English,The Neighbourhood Character,,bandcamp,"{erotic, anxiety, experimental, electronic, music, cerebral, ambient}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,17
113,Daymares music video,,5,2,TRUE,FALSE,see description above.,,TRUE,,82018,music/video,computer/editing programs/,video file compressed,Stolpe/Berlin,Germany,video,Daymares,,English,Silvia Maggi & The Neighbourhood Character,,nowhere yet,"{erotic, anxiety, experimental, electronic, music, cerebral, ambient}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,17